AK, Alaska, Alaska
AL, Alabama, Alabama
AR, Arkansas, Arkansas
AZ, Arizona, Arizona
CA, California, Californie
CO, Colorado, Colorado
CT, Connecticut, Connecticut
DC, District of Columbia, District fédéral de Columbia
DE, Delaware, Delaware
FL, Florida, Floride
GA, Georgia, G&eacute;orgie
HI, Hawaii, Hawai
IA, Iowa, Iowa
ID, Idaho, Idaho
IL, Illinois, Illinois
IN, Indiana, Indiana
KS, Kansas, Kansas
KY, Kentucky, Kentucky
LA, Louisiana, Louisiane
MA, Massachusetts, Massachusetts
MD, Maryland, Maryland
ME, Maine, Maine
MI, Michigan, Michigan
MN, Minnesota, Minnesota
MO, Missouri, Missouri
MS, Mississippi, Mississippi
MT, Montana, Montana
NC, North Carolina, Caroline du Nord
ND, North Dakota, Dakota du Nord
NE, Nebraska, Nebraska
NH, New Hampshire, New Hampshire
NJ, New Jersey, New Jersey
NM, New Mexico, Nouveau-Mexique
NV, Nevada, Nevada
NY, New York, New York
OH, Ohio, Ohio
OK, Oklahoma, Oklahoma
OR, Oregon, Or&eacute;gon
PA, Pennsylvania, Pennsylvanie
RI, Rhode Island, Rhode Island
SC, South Carolina, Carolina du Sud
SD, South Dakota, Dakota du Sud
TN, Tennessee, Tennessee
TX, Texas, Texas
UT, Utah, Utah
VA, Virginia, Virginie
VT, Vermont, Vermont
WA, Washington, Washington
WI, Wisconsin, Wisconsin
WV, West Virginia, Virginie-Occidentale
WY, Wyoming, Wyoming
